

=== New Entry ===
Total CO2,173595.21
Total NOX,1105.65

Top 15 Departure Airports by CO2 Emissions:
Dep,CO2,NOX
Unknown,24187.290253347157,156.14714848222334
London,9949.427770953742,65.51025496418215
Amsterdam,9842.84377809397,63.872984109271485
Paris,8491.650952172899,55.08445955991107
 Frankfurt,7925.37065798452,52.93566005379077
Istanbul,7519.389868249732,51.505819279120175
Doha,6618.275081006438,47.43871667322435
Dubai,3939.2599235021385,31.212417844226444
Hong Kong,3900.677669812324,28.849304877861588
Chicago,3703.6838240290695,24.111564900077084
Zurich,2515.2987628961323,17.169883373466224
Seoul,2417.5448125652656,18.015445312424117
New York,2286.4691684080044,14.266356802653592
Brussels,2281.9259640308874,14.200702797377316
Hawthorne,2155.513325742598,14.1623892202557
Atlanta,1972.8789652791802,12.302383292667495
Leipzig,1901.4650848787237,12.379667558103671
Tokyo,1898.428404919867,13.226787276876477
Milan,1887.9237524907728,10.22392249039583
Madrid,1799.7182481534487,10.564176218704713
Cologne,1591.8338391431273,9.856335585258595
Dallas-Fort Worth,1373.092239700675,9.593591084264158
Liege,1352.6565859782634,8.239824367985207
Houston,1342.196227671389,9.733203242693573
Rome,1310.1080545933985,8.615378148566665
Barcelona,1284.658198671844,7.246688533441359
Nairobi,1233.1450743547377,9.1635046205885
St Denis,1216.8567201681071,8.426742341105014
Mississauga,1161.3288167207434,6.751885992635318
Chongqing,1096.6910595605973,8.141890262494515
Dorval,1072.3352642793748,5.213613852150543
Munich,1020.3351421228488,5.308333922869497
Dublin,1013.7135217096128,5.963159370669083
Athens,1008.5038883935003,5.421757686579784
Newark,961.470539773431,6.259277209608238
Pointe-a-Pitre Le Raizet,944.923514107157,6.26456340686091
Bangkok,932.7295249039631,6.9217128812743685
Taipei,915.5524498588937,7.062913360478754
Izmir,910.5045926794801,5.021614236466522
Sao Paulo,895.5327202725737,6.441330185411745
Mumbai,889.9299630580606,4.545150671459423
Nottingham,878.6193494485358,5.262750786071355
New Delhi,825.890103362026,4.907590994671052
Memphis,814.5710531275179,6.083063895259493
Miami,793.9787536559768,5.475689526859486
Lisbon,765.6911626094486,4.018479003923748
San Francisco,757.6631289087597,4.750513945051933
Luxembourg,753.1723695361308,3.059996365250653
Singapore,712.3242861915755,4.167113116093543
Copenhagen,676.9782405815674,3.839451291689693

Emissions by Haul Type:
Haul,CO2,NOX
Long-haul flight,130313.04600580134,863.1324936046001
Medium-haul flight,18998.775131469403,103.86088332954319
Short-haul flight,24283.38807678422,138.651623684559

Emissions by Aircraft Type:
Plane,CO2,NOX
b77w,81496.68258466732,634.5926953239928
b738,13574.378242521978,75.79325701191426
a332,11661.492178777378,63.13618333450222
a359,9651.32683086154,40.60905304446472
b789,9386.370394733169,41.18185347584795
a333,9002.763595789247,47.41666196731679
a320,8614.309471091066,48.021469543269326
b772,7618.862860217632,59.934100879445914
a20n,4130.643789880485,19.996422326489935
a321,3738.219719058782,28.310491694715623
b744,2631.4205891468014,4.821415955946253
a319,2448.1845437775037,10.055878477031854
b752,2126.0997248063386,4.989920225770501
b734,1808.4861959989817,8.118566758501498
b748,1371.0949325043293,2.082052649223821
b788,1077.4762208113625,3.8948708620661283
e190,884.6599443104515,3.765954000076373
c550,639.7667123508022,1.7459598998312371
a343,595.0970070976199,1.4109655265595151
b737,567.1841818685165,3.2201767192281685
e195,459.1957769814029,2.1094156949106293
e75l,72.91314562862199,0.2735495241985037
glf6,38.580571173634816,0.16408572339824912
