EurocontrolID,Plane,Dep,Arr,Dep(start-coordinates),Arr(end-coordinates),CO2,NOX,Time,Distance,Haul,Start-Date,End-date
239075328,a320,Stockholm,Frankfurt am Main,"[59.65195, 17.91861]","[50.03333, 8.57056]",19.091858274093923,0.10389929594517174,7163.0,1247616.0,Short-haul flight,06-03-2020 15:24:00,06-03-2020 17:23:23
239075330,e190,Amsterdam,Aalborg,"[52.30806, 4.76417]","[57.09278, 9.84917]",11.210780986366236,0.05155519500427051,4503.0,644814.0,Short-haul flight,06-03-2020 15:16:45,06-03-2020 16:31:48
239075331,a321,London,Edinburgh,"[51.4775, -0.46139]","[55.95, -3.3725]",25.51507413612438,0.22150414044452146,5321.0,575024.0,Short-haul flight,06-03-2020 15:35:00,06-03-2020 17:03:41
239075333,b738,Malaga,Dublin,"[36.675, -4.49917]","[53.42139, -6.27]",34.95667193070263,0.18415993239419373,11885.0,1936017.0,Short-haul flight,06-03-2020 15:29:00,06-03-2020 18:47:05
239075334,b738,Malaga,London,"[36.675, -4.49917]","[51.885, 0.235]",32.62197360719093,0.17215359117157958,11044.0,1828165.0,Short-haul flight,06-03-2020 15:21:00,06-03-2020 18:25:04
239075335,b738,Stockholm,Vilnius,"[59.65195, 17.91861]","[54.63695, 25.28778]",14.22186560293688,0.08855826947717067,4604.0,728728.0,Short-haul flight,06-03-2020 15:25:16,06-03-2020 16:42:00
239075338,a320,Bologna,Chișinău,"[44.53083, 11.29695]","[46.92778, 28.93083]",19.778393882851407,0.11204113061981917,7191.0,1415097.0,Short-haul flight,06-03-2020 15:19:00,06-03-2020 17:18:51
239075340,b737,Tunis,Strasbourg,"[36.85111, 10.22695]","[48.54195, 7.63445]",20.56865334478127,0.11222187463374263,7511.0,1435006.0,Short-haul flight,06-03-2020 15:52:00,06-03-2020 17:57:11
239075342,a320,Barcelona,Santiago de Compostela,"[41.29695, 2.07833]","[42.89639, -8.41528]",18.376561810347933,0.10687457693207045,6390.0,927362.0,Short-haul flight,06-03-2020 15:21:00,06-03-2020 17:07:30
239075344,b738,Amsterdam,Berlin,"[52.30806, 4.76417]","[52.55972, 13.28778]",12.458628809102565,0.07926766289225866,3825.0,595086.0,Short-haul flight,06-03-2020 15:22:00,06-03-2020 16:25:45
